#Name,Vendor,Product,Revision,Prefix,Suffix,SeriaLen,InquiryLen,Dtstart,StStart,IEStart,AVoltag
ADIC_Scalar_24,ADIC,Scalar 24,D.00, , ,24,0,256,1024,768,0
ADIC_Scalar_100,ADIC,Scalar 100,D.00, , ,24,0,256,1024,768,0
ADIC_Scalar_i500,QUANTUM,Scalar i500,D.00, , ,24,0,256,1024,768,0
ADIC_Scalar_i6000,QUANTUM,Scalar i6000,D.00, , ,24,0,256,1024,768,0
HP_ESL_9000,HP,ESL9000 Series,D.00, , ,10,0,256,1024,768,1
HP_ESL_E-Series,HP,ESL E-Series,D.00, , ,10,0,256,1024,768,1
HP_EML_E-Series,HP,EML E-Series,D.00, , ,10,0,256,1024,768,0
HP_MSL_Series,HP,MSL G3 Series,D.00, , ,10,0,256,1024,768,0
HP_MSL_6000,HP,MSL6000 Series,D.00, , ,10,0,256,1024,768,0
STK_L20,STK,L20,D.00, , ,10,0,256,1024,768,0
STK_L80,STK,L80,D.00, , ,10,0,256,1024,768,0
STK_L700,STK,L700,D.00, , ,10,0,256,1024,768,0
STK_SL150,STK,SL150,D.00, , ,10,0,256,1024,768,0
STK_SL3000,STK,SL3000,D.00, , ,10,0,256,1024,768,0
IBM_3584,IBM,03584L32,F270,000007,403,12,58,256,1027,768,0
IBM_TS3100,IBM,3573-TL,D.00,00L2,_LL1,12,0,256,1024,768,0
SPECTRA_TSERIES,SPECTRA,PYTHON,D.00, , ,24,0,256,1024,768,0
OVERLAND_NEOSERIES,OVERLAND,NEO Series,D.00, , ,10,0,256,1024,768,0
OVERLAND_NEOSERIES_3RDGEN,OVERLAND,FlexStor II,D.00, , ,10,0,256,1024,768,0
OVERLAND_NEOXLSERIES,OVERLAND,MULTISTAK,D.00, , ,10,0,256,1024,768,0
